RH,RH2,RH3,RH4
97.83626729025032,100.0,99.42306436790672,98.86171307388771
98.76524213812776,99.66458002431332,99.51470710154608,99.4409407014893
98.93551318153531,100.0,99.17523551590465,98.304893421546
98.39330687295076,98.57435117291249,96.39296046282692,97.77682391684864
97.37458200567684,96.47858342913672,98.2078866695891,100.0
99.55903967686746,98.53869400650102,97.8097204052908,99.90353044600118
100.0,99.61344791996036,98.1282764980916,99.60894046834608
97.01822663622346,98.97226038083974,98.85941223581212,98.16071061170904
100.0,98.626097948588,97.0578199887984,100.0
98.6931345584523,97.93643366500508,98.4183256686424,98.69514823001626
97.1098936569206,99.13068388710498,99.21010854051892,98.452902451689
98.32980965820128,99.46646916616504,96.90094664201123,98.332145891931
99.18185236192876,99.58382896483464,98.62277214216569,97.99295996600384
100.0,96.33163563535504,94.85778531034416,96.0163160104892
90.4388411263812,89.06144147904503,85.64002708802877,85.0468908406749
82.37246221390613,76.6091645589693,78.27901733131586,71.39510360089048
68.2180032468552,58.63803056182645,57.38794233294804,56.12240211366654
49.98003952304468,44.06085266697918,42.44221520275111,42.05312686180086
40.97871873984008,46.01930699823435,42.35817180728385,46.59992198151575
48.6751513213664,50.71114927490039,50.37859879927054,54.82520595927989
57.700296490530455,61.04880046441372,61.708776489560265,68.29931256796311
68.70336584600982,74.57660096179058,75.66628974074403,79.6421283278821
82.09231765348632,84.95476104749211,86.72097557460356,90.87231662398456
92.25712959340618,95.53384655727812,97.275315102701,98.704779835291
98.97860598150888,96.90592222051356,98.46373855527244,100.0
99.52703944527096,99.64084717366386,99.46640944580736,98.36340550078532
100.0,99.12221064727932,98.3482541185568,98.8290994020205
99.8608353663814,97.98944759447082,98.22466008464544,95.65408316874176
97.39749957609152,96.31332264756035,96.4915771014452,96.46560111037536
99.53839908780104,97.7109124612485,98.56552708257826,98.4024425536328
98.17852972181838,99.69773005827211,94.15529015622371,95.81372838638414
95.42168765703386,93.25543079422724,93.6308136802321,92.05933177146234
90.83863571176012,88.7097351988733,89.93463702438709,87.18084836450375
85.31258549517491,85.99618406188813,85.19179607323012,84.1637636206168
83.03115784924456,80.35046653547676,81.3212206320832,80.124847012086
78.17645537777203,79.67132312082428,75.71683941571774,78.11070813953485
81.2915745599912,83.46167537308027,85.38884860068092,89.96296301663978
93.26478267382925,97.1695993735848,99.0943479247722,98.3738832439278
99.70101705177666,100.0,100.0,100.0
100.0,98.9176679021814,100.0,100.0
100.0,100.0,99.62349119463374,98.78293846374685
99.40207141121232,99.59564232618428,96.9348384531672,98.12113210420192
97.94332665240104,96.36599078298973,99.78553075966774,99.0157828137014
98.82483246674887,97.15996224157286,98.70483749221292,99.1023186851515
97.71613520894776,100.0,97.55450130372373,96.30474898386588
100.0,98.97581030480195,97.51596342218107,97.55425547033656
97.47091919780144,97.91891942950582,97.71365812896232,99.61841353096229
98.64519476011353,97.68453177279233,96.88512059456262,99.61095247809324
98.87405791311537,98.1237395546841,99.65817073135202,99.88295587600108
98.90546467982378,99.18944018944894,98.60072929404733,97.61408649326846
98.49349308926132,97.91902778176794,99.27414840618388,98.9204408609637
98.96862450013616,98.41780171301312,95.53319697249177,97.76440320110922
96.71026175804292,96.11150328460248,97.8581010829568,98.69730682808188
