SM,SM2,SM3,SM4
79.69391787740432,81.45762258137285,80.90392217518773,83.95769885295235
87.09694968600436,87.93631294105447,94.57424026234618,97.1198227868074
99.95108168067206,99.48692749348244,100.0,100.0
100.0,97.7608388953157,100.0,99.08452133835353
100.0,97.83283504890385,91.34639988400244,77.58541622504816
53.87777183318703,49.813625445614846,49.8318613332815,52.59823571904444
54.76872215489107,54.84456558693096,57.96207388632561,58.71031605787425
59.092372355013055,60.57092172604847,62.55673759144243,61.4494256489596
58.096364050348,57.516482034308325,56.35824624451504,55.70979288163989
56.92582629557409,53.0523991825597,53.38675307687571,53.56145414107393
51.58717680477898,48.03389538552595,47.93670199459741,46.80825833482948
46.18331041598282,45.91197168875039,46.01049474717395,48.96171955601774
46.90851474132263,46.55990743489632,45.72600058674762,57.23847633034335
93.0953310377327,97.9396162638788,98.43839397051448,99.6704210240388
99.73189324902192,100.0,99.32798209141328,99.71006592931612
98.38451770317316,98.96095344848864,99.66062394651314,99.0616850960668
99.97535747799796,100.0,98.07706814705482,99.04265284286932
99.14278053264812,98.31604295565356,96.58031804047155,99.21943172001916
96.73727482441276,96.50798028502088,94.8384337040236,97.96242498356054
95.78205396585052,95.6427050147622,95.56800562284728,94.20351576834553
96.30986228157668,96.01501941343524,96.64015807225562,96.92565315392778
95.9703989329731,94.16740729746915,94.59227970258314,94.3362452639066
96.13241315985388,95.5293733903086,94.18478581707087,94.69823284929402
95.1967915778134,95.03120465609082,93.33511238815076,95.271944110103
94.0829669963446,95.83976039875202,96.2252427437335,98.10877321628784
98.79155721858103,99.10818310229288,98.38146759388138,98.30715330396109
98.93906508072354,100.0,99.7369337740993,98.3467876751244
98.90421635455516,99.18731152714324,100.0,99.06245711164873
99.58671619849196,95.57820494540393,89.85647994602627,78.71155361653962
57.325423121370285,55.36399301458969,58.11847985523508,58.55860785507589
59.25866298899151,61.86566329387037,62.485723882491286,63.0870605369792
63.24705371979066,65.37733805973463,64.54210386774916,66.286744054913
66.61563545881413,66.18788569993765,67.86050340760708,70.02942382641812
71.13164258660396,67.96486461306897,71.79957881608226,71.98995476900396
72.46109900059686,71.92024999757682,75.79827547998435,75.9281128562003
76.3176487537652,77.40960518607173,78.96400774438142,79.3427441223202
78.77298500636421,79.82098260036474,80.18403487693229,84.69982529439324
87.21625359255239,88.65003972123652,94.64479869956244,98.35666065792464
100.0,100.0,100.0,100.0
99.24380981757848,100.0,99.72053014271252,99.69535906730952
99.47548520829112,98.04485882310334,91.05325207534568,77.19531870907534
52.97565424351255,52.05734462092619,52.56568709942636,52.334168994855965
55.440411184922525,57.84998259625183,58.049213198638746,58.34463539463019
58.510384374659466,59.40772666493276,56.30945400233852,56.239419794935095
55.0524545702154,54.81206839016328,55.60940640766177,53.53181628992586
52.68329054912324,49.46139188312299,48.67150287281643,47.3001480920729
48.065559606068646,41.90617014434618,43.57012660972093,43.374292056590185
40.19383878041793,40.28078567033659,40.634881369380736,40.79627399938564
38.01488523368669,35.507219427514855,38.478567582589086,42.14213692720356
42.846921116873126,46.71355612420147,63.87660935017488,98.7487995057667
99.37171574053414,100.0,99.66440368314034,99.11001940854102
100.0,98.5447535637032,100.0,98.15986188721092
99.35575805062456,98.51120348299612,98.53655812539186,96.30692408226216
96.99651668823536,96.34541664960678,96.24010667586572,96.23276973281418
92.49031536087384,90.04408800460995,88.196002937073,85.69443091285413
85.79207185300025,84.47228755060466,82.18148945306625,81.03888004212779
79.67941810936155,76.47085310639018,74.11347130464198,73.59920824101131
72.20489539349771,69.3330813512472,68.37774841016389,68.40289928030495
63.818020510939576,63.75490037896042,61.62799857004869,59.49413232991117
56.22721672014188,55.62905447104838,51.89728877093757,50.88978529893169
47.72892070756149,47.5852033107684,43.17480087541677,40.538388610996535
58.56549093197603,69.32248178818428,96.52258382300808,99.76058860669691
100.0,100.0,98.57022482992656,100.0
99.02801197116884,99.0328521750561,98.9665321187899,99.941821081117
100.0,100.0,100.0,99.99264895508396
99.55292099990572,98.04705906120968,100.0,100.0
99.4852844180166,98.92603386410808,95.72718918019284,94.88368841127316
93.19583158566722,91.44664611848523,92.68988330424637,91.31234252805687
91.24370740424337,89.27665694021368,87.5746497827861,86.37532426156586
85.60041168155253,84.14634802259587,83.76462870729496,84.13430197851767
83.82093098694592,81.78814450957974,80.53201514313767,80.21347123185755
78.98186572087815,80.96541279461253,80.41566296353459,77.10939687359664
79.0277201574377,82.16835195473027,80.90504105735906,84.30895335554101
84.83667340036908,87.76819169317046,94.29895445641864,96.17308784070154
100.0,99.62867376984276,100.0,100.0
100.0,97.65192146171684,100.0,99.01864665843438
100.0,99.48601635287456,90.97982666759025,78.04137863058853
52.85434863106165,50.82830677286157,52.26773484607568,54.39600036318621
56.49428123984767,57.23892439969521,58.75895859304498,60.85858394195039
63.22168390864471,65.06844184475854,66.71861648998647,69.39884246662434
71.31061365618162,70.65870917102163,72.22629818674582,74.39221833927179
76.69591756380798,80.7340172690306,80.04253820362277,83.55525883473881
85.00515230870201,86.56031003801863,88.31482255160851,90.5677436373948
90.9738060427306,91.63922846747715,93.63758962227922,96.3203647987598
96.97080891649182,96.91622651823884,97.78499721570331,96.86587507059312
98.13946998641742,99.21338701061966,100.0,99.3199575723995
99.17772009029518,99.65952690980292,100.0,100.0
99.46013676387156,98.532404390641,100.0,99.93646091872954
98.55007100540033,98.15920285516862,91.0047980718695,80.09016306738904
54.5640921740101,54.65524040099293,57.870424859496914,59.29537610115111
61.51335117302589,61.74176461818236,63.80160652938285,64.03055692270875
67.73105326375698,68.61582499146081,69.4722605130814,72.29131076659503
72.38443934613174,73.6151102913142,74.17659034695691,78.89915571080415
78.68904487971182,79.759582977706,83.02610207771703,81.83347912492694
88.61618493338513,89.15147995429221,87.69250634627281,89.02490378877648
90.9840304701642,91.65812691612264,93.6538196062797,96.81982194726716
94.43231590248722,97.43412021212956,94.96105538132475,97.68634121202584
99.68407386143537,99.55134656377214,97.30817097338068,100.0
100.0,99.29860098572009,100.0,100.0
100.0,98.47069574425888,99.90596290237444,100.0
100.0,96.8317478587507,90.5370090353756,81.17827761844211
57.123590693762495,57.66115434626338,58.33368105619575,59.20868992586532
61.55883339648195,64.40478420426615,62.28520255889694,62.73270044325202
62.90734845565097,64.51707068822714,65.18808746806968,65.3405269633217
68.67686977224083,67.53569287479863,67.82517718788833,68.20414793352894
69.91417791261743,70.12750076276606,72.48674987464615,71.37789297715752
73.89914112924299,73.80149120244204,74.99471100690354,75.09562967008448
76.11974172628503,76.69517651884229,78.89558206257783,78.75843305970604
79.97179424841187,80.4620803331081,80.8862674151258,83.80458435877323
85.60225867603458,90.7489607147377,95.6389519866254,97.31889519806124
