Light,Light2,Light3,Light4
98.995906808635,100.0,97.97301927616668,100.0
96.60858504407958,83.1852252838803,82.59144362215878,77.71330058099733
78.31847207207697,75.7351118132534,77.52196629580754,75.00936439152923
70.98386175342884,69.39494700350396,70.54556449991313,66.55926291573059
62.28315963951733,49.83775565251141,33.59327942705806,27.04961022476799
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,3.0,8.0,8.0
97.74447100257233,97.05692252648844,94.02609787248647,93.64517889786204
89.38413988509552,92.22038439488708,93.91103836492628,98.3401641350066
96.22394758952235,95.67639860875308,98.53149760539036,97.89093691959437
100.0,95.83470033990204,91.0824243836701,91.2430442290465
81.11069985707206,80.33392658520756,73.31753275459941,70.19074897979758
74.442033732129,76.625726028919,67.40883760415782,66.99832958090191
51.79023035921501,55.743790832237686,53.729390379094944,41.58818411310094
30.05745013737874,22.61943728995823,21.487449831300545,18.87925790272356
6.0,2.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,9.962919291445708,18.556431548080127
31.079710314541565,31.250023518588712,34.182702728391924,34.44521592668858
32.62025543591388,55.52100782046248,55.87692761821924,59.54978930552812
61.49567627864481,61.0506303909384,72.04779219945662,79.9749114853737
100.0,100.0,100.0,100.0
87.9502775848917,88.27460419978911,87.4214515626966,90.46051039190934
90.77659941301658,90.38595998322536,86.35802985529527,82.36716078067181
79.60697941952344,43.54473288002003,43.53662059212009,43.53491049652573
44.219706414726566,31.73227957917017,11.93815127980832,11.56890444327189
12.02826912297075,8.0,2.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,8.0,7.0,24.21496678379208
24.93396169527332,27.85200944996204,34.9653718221375,38.84683551213882
44.57821788995899,46.00886045178337,61.45472320223418,70.17174782408837
68.96040441202011,80.47009411507456,82.94695776694216,81.9108928037807
78.62615331951802,84.48589025627166,91.57741454252728,91.53898797798315
87.24401515645395,88.13887165251991,90.61182271707978,91.2148357953198
90.3567441102025,89.34299526208918,86.91120701076888,82.25067887704117
79.72118500046882,44.837616951539005,43.299117232022255,43.43462224332997
42.52340569767177,32.55110690999769,12.163909193220638,12.23612538224055
11.294453777714146,8.0,2.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,8.0,7.0,23.066703516493263
24.640130452547535,25.455412786666223,34.64612571682246,38.19780383556497
44.42787884071031,46.51697187692952,60.812299596467206,69.69925063109007
70.15253764291299,81.00594310938295,82.0867495036362,82.3510659286494
79.5224324138701,84.20706704000493,89.28507871732253,91.730214421567
99.27598531645876,100.0,98.56638382398332,100.0
98.81065558644612,100.0,100.0,98.59522938699745
98.32806565718847,90.6492637234347,87.9201589800491,87.89343846999266
85.59933327353095,70.98120294474819,28.399733999952765,16.253719091458265
7.0,2.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
2.0,4.0,17.394873464183338,21.73967052346308
22.59815096095922,26.262749159291435,41.03416607851243,41.60227022153706
50.323722903878455,84.93909685444181,84.86518183667029,87.48431894908063
83.00774150293628,79.43770478742351,72.39677747681944,70.8068999207048
80.44463923525419,82.8010468636627,84.13049402374533,82.68101956537986
80.87879289259354,79.1940485898858,75.68335402368818,73.02312373789205
74.64725486676856,76.98334478734745,67.41489141296952,66.20967815720455
51.6385171684675,53.219703702214574,53.880522603047694,40.1247934579086
29.33119223762776,22.946630158046915,21.681523534976748,19.503156193666744
6.0,2.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,9.163170860643824,19.645869657725328
34.10811889026955,33.43222825939305,31.429905844785612,34.469125913612025
32.93486891132083,56.36509036266386,56.21641800913376,59.14885195214795
60.22284268559653,62.39713869406221,74.01246017267077,81.38759125332083
99.14609605866852,100.0,99.81739974753448,98.1306200411
100.0,100.0,99.29888081571382,99.44049330405878
79.01195398873264,62.39078158381717,45.5871350428688,40.80940590634597
41.93286144964696,38.87358273191831,35.90425319512223,37.19052365734265
40.17683315600887,39.53585644101867,32.478192179866475,26.09323674810568
17.900705183547363,12.038922979724228,14.632125181882897,2.0
3.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,15.000382169498389,16.64086610485156,46.95308170044815
48.83988747155164,58.05935873487565,69.59682487856199,91.3674731104869
94.32311894071756,94.75608192359418,90.48445333448244,87.69944059325962
94.30937007075067,96.97379164791695,99.72974329059136,100.0
99.1657575267676,99.74118638942213,98.1095615519522,100.0
83.83575391586649,84.55612734418735,84.39519882877998,76.2186458608964
87.39975135653702,90.37880430432512,99.18130171800144,97.3338399620121
99.1400474774464,100.0,100.0,100.0
99.01465798668396,96.59500041527905,85.01250840561507,72.55193920329796
65.04558299187838,39.0521868213198,38.36963914244103,26.50692384978432
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,3.0,4.0
7.0,13.530317369434057,21.500175610847315,23.75577409672912
31.701970763917537,37.42823829881357,38.823882195817525,41.257647593398005
43.159044294714136,87.54639759969056,96.37779092346788,95.36789168174816
98.39402652358152,94.61726175723216,98.56367544999736,96.86067254864754
100.0,98.99849301400172,99.83234581825783,99.04784186686794
80.37109663206422,62.99061039488726,44.880177127945935,38.81607384178347
41.72042322820229,38.16042106307498,35.9577852529095,39.60233835709566
40.97764821882776,38.9060875995036,32.96225514970641,27.413571021892675
16.864628184916047,13.973740385864692,16.141557482132217,2.0
3.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,15.87749049097366,16.363724071059064,49.237861368638086
49.07367988604355,57.85181480602051,69.65231306396937,93.43475328730916
94.22294968601943,95.204549181685,87.8622533397062,86.48114329150002
94.17879036923168,97.80393679778818,100.0,99.6529282369314
98.65210956527454,100.0,99.01871513265486,100.0
80.65010024924948,69.02434221216299,59.93399761023488,56.4364633448441
64.90335583028822,73.83015352703018,73.6918795250775,76.28888945846403
69.37884177243349,63.86254168205456,56.82938423869937,68.79433970552938
66.79778603621048,65.3764411273346,35.356169847132485,17.56221569438545
16.51719240407688,5.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,3.0,4.0,7.0
10.960598841424858,22.518178768460896,19.54358745548036,24.74304525280012
35.9741677420784,54.88281147525935,65.65256950699919,62.10136368855398
66.48222300547198,65.87942586041262,68.06378841988294,84.53797872771445
83.50676766220712,84.07043571691648,79.13694178035935,79.17324071551543
86.13402498661898,88.97999682241014,88.58695374351873,90.30231466555809
90.15621630158738,88.97932148767259,86.33055423388402,83.64466189183179
78.74287987185708,45.05692185325059,44.39363033657699,42.43104151056679
41.98808000711027,29.367203527079084,12.25937008558501,12.882685772845884
11.365637140571964,8.0,2.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,8.0,7.0,24.69833329870865
24.210180256886016,26.6377170127709,35.12611066762637,41.18929235430568
44.17579180248933,44.88203510596855,58.60503895510335,69.0328245356325
69.61125319706693,82.13343481460704,81.27388016309372,82.96239532168944
78.56293494332738,83.74316197998344,90.89825244765828,89.26296310234535
79.81760425211222,69.4015816289951,60.80584331772637,55.17836794228632
66.87914243248173,75.15434745681348,74.4551440587559,75.77703619018727
67.34645650847747,63.75000705403957,57.12060615334278,66.47107543629801
65.79936286541293,69.16749457851677,35.20090460426094,18.246296188103887
15.614690279562463,5.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,3.0,4.0,7.0
9.397544289027142,22.76609671774965,19.331843306276085,27.057238263010515
31.740075339197347,56.93980278366506,64.98648834524231,66.54351033007192
65.73814593874708,65.46861342375095,66.11268878880311,85.46610479028764
83.92301938892658,82.81615202660092,79.66303387142723,80.46750153791439
100.0,99.81298760315046,100.0,100.0
97.8482782886979,82.39011437803734,84.07024406035728,77.8567039391843
76.07546465122455,77.28770057710977,74.44902155449572,73.34192361978933
71.87164356298848,69.37329942357825,68.28113715496654,68.22345763253287
62.148906714691634,48.15585644729224,31.14896484270551,26.8489013004158
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,3.0,8.0,8.0
97.80863572773488,96.82909500569716,94.1503060791187,92.48608996440814
90.2447578679188,92.52820154451192,95.35919976741332,96.55409753707848
97.25106598042213,96.01190676549462,97.36056314727216,98.66609900384242
98.17128606354224,94.37639590754829,91.22271724274746,90.09886980674968
84.6976906519899,82.4425820116878,82.89249353707869,76.33470384883888
85.29484043460866,87.64061235445268,99.56339352353568,97.67319461177344
100.0,99.4336355989225,99.6842724810197,99.39136865676744
100.0,96.98420263354951,84.0460580019929,72.87966463612878
66.5378409866062,37.745611097161,36.70712303457351,27.22529265582377
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,3.0,4.0
7.0,11.877985789219702,22.20220120056001,23.33964639384623
29.938687032858287,36.787093159792015,39.852540779613705,40.4888302542472
42.80443183674601,87.26649017115243,95.47770881349028,96.05429061711584
97.2226880165386,94.26156306166632,97.12021094414536,95.90608701347948
79.1139822738841,65.56096701159821,59.81398557071756,54.84515394697229
63.12550105555189,74.66801594182712,75.1515107648244,73.63482745418156
69.6826581815438,63.24770092242084,57.72810758909959,67.31998158736565
66.89852507946051,65.76992872456755,34.597904593968074,18.602309296541737
15.564094989025287,5.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
1.0,3.0,4.0,7.0
10.423659677446498,24.922313995067604,21.03916357290433,27.676199356015985
33.427205432453306,54.63312911079591,64.81996691412841,64.45920794230686
